time,entityID,position,atDestination,Activity,Language
Text:32506398030000,Text:Blanch,de.nec.nle.siafu.model.Position:26.789358979619315#-17.33327943396035,BooleanType:true,Text:Walking,Text:English
Text:32506398030000,Text:Wukong,de.nec.nle.siafu.model.Position:37.64502862514079#-40.75886374142078,BooleanType:true,Text:Walking,Text:English
Text:32506398030000,Text:Sheila,de.nec.nle.siafu.model.Position:37.64502862514079#-40.75886374142078,BooleanType:true,Text:Walking,Text:Spanish
Text:32506398030000,Text:Florante,de.nec.nle.siafu.model.Position:37.64502862514079#-40.75886374142078,BooleanType:true,Text:Walking,Text:English
Text:32506398030000,Text:Teresa,de.nec.nle.siafu.model.Position:37.48874352133291#-40.66862984776728,BooleanType:true,Text:Walking,Text:German
Text:32506398030000,Text:Yanyan,de.nec.nle.siafu.model.Position:9.081530069363957#0.35999981560972394,BooleanType:true,Text:Walking,Text:English
Text:32506398030000,Text:Meena,de.nec.nle.siafu.model.Position:26.789358979619315#-17.33327943396035,BooleanType:true,Text:Walking,Text:English
Text:32506398030000,Text:Farda,de.nec.nle.siafu.model.Position:26.789358979619315#-17.33327943396035,BooleanType:true,Text:Walking,Text:Spanish
Text:32506398030000,Text:Postman,de.nec.nle.siafu.model.Position:27.430159498658696#-18.02801140222789,BooleanType:false,Text:Walking,Text:Russian
Text:32506398030000,Text:Pietro,de.nec.nle.siafu.model.Position:26.63307387581144#-17.24304554030684,BooleanType:true,Text:Walking,Text:English
Text:32506398360000,Text:Blanch,de.nec.nle.siafu.model.Position:28.367870121505945#-18.569414764148938,BooleanType:true,Text:Walking,Text:English
Text:32506398360000,Text:Wukong,de.nec.nle.siafu.model.Position:39.17666476702742#-42.07618657160937,BooleanType:true,Text:Walking,Text:English
Text:32506398360000,Text:Sheila,de.nec.nle.siafu.model.Position:39.36416476702742#-41.751436571609375,BooleanType:true,Text:Walking,Text:Spanish
Text:32506398360000,Text:Florante,de.nec.nle.siafu.model.Position:38.79378205941167#-42.01750003430236,BooleanType:true,Text:Walking,Text:English
Text:32506398360000,Text:Teresa,de.nec.nle.siafu.model.Position:37.48874352133291#-40.66862984776728,BooleanType:true,Text:Walking,Text:German
Text:32506398360000,Text:Yanyan,de.nec.nle.siafu.model.Position:10.472435899826962#-0.11830883361834132,BooleanType:true,Text:Walking,Text:English
Text:32506398360000,Text:Meena,de.nec.nle.siafu.model.Position:27.406721998658696#-18.068605152227892,BooleanType:true,Text:Walking,Text:English
Text:32506398360000,Text:Farda,de.nec.nle.siafu.model.Position:28.320995121505945#-18.65060226414894,BooleanType:true,Text:Walking,Text:Spanish
Text:32506398360000,Text:Postman,de.nec.nle.siafu.model.Position:37.557476349978494#-24.308198383359414,BooleanType:false,Text:Walking,Text:Russian
Text:32506398360000,Text:Pietro,de.nec.nle.siafu.model.Position:26.63307387581144#-17.24304554030684,BooleanType:true,Text:Walking,Text:English
Text:32506398690000,Text:Blanch,de.nec.nle.siafu.model.Position:30.13388126339258#-19.480800094337525,BooleanType:true,Text:Walking,Text:English
Text:32506398690000,Text:Wukong,de.nec.nle.siafu.model.Position:40.130035493682556#-42.95138632718393,BooleanType:true,Text:Walking,Text:English
Text:32506398690000,Text:Sheila,de.nec.nle.siafu.model.Position:39.59853976702742#-41.345499071609375,BooleanType:true,Text:Walking,Text:Spanish
Text:32506398690000,Text:Florante,de.nec.nle.siafu.model.Position:38.40312195560379#-42.33320364064885,BooleanType:true,Text:Walking,Text:English
Text:32506398690000,Text:Teresa,de.nec.nle.siafu.model.Position:37.48874352133291#-40.66862984776728,BooleanType:true,Text:Walking,Text:German
Text:32506398690000,Text:Yanyan,de.nec.nle.siafu.model.Position:10.058338296019087#-0.47460618996483284,BooleanType:true,Text:Walking,Text:English
